Public Filename,Canonical Term,Term ID,Domain,Ontology Filename,Mapped,Should Mark Public
Bitcoin,Bitcoin,BC-0500,blockchain,Bitcoin,Yes,Yes
Blockchain,Blockchain,BC-0001,blockchain,BC-0001-blockchain,Yes,Yes
Money,Money,DT-0002,cross-domain,Money,Yes,Yes
3D and 4D,NOT FOUND,,,,No,N/A (no ontology file)
AI Companies,NOT FOUND,,,,No,N/A (no ontology file)
AI Risks,NOT FOUND,,,,No,N/A (no ontology file)
AI Scrapers,NOT FOUND,,,,No,N/A (no ontology file)
AI Video,NOT FOUND,,,,No,N/A (no ontology file)
AI privacy at the 2024 Olympics,NOT FOUND,,,,No,N/A (no ontology file)
AICafev6,NOT FOUND,,,,No,N/A (no ontology file)
Accessibility,NOT FOUND,,,,No,N/A (no ontology file)
Adoption of Convergent Technologies,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Alliance,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Internet,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Metaverse for Global Creatives,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Mycelia,NOT FOUND,,,,No,N/A (no ontology file)
Agentic Workshop,NOT FOUND,,,,No,N/A (no ontology file)
Agents,NOT FOUND,,,,No,N/A (no ontology file)
Ai in Games,NOT FOUND,,,,No,N/A (no ontology file)
Algorithmic Bias and Variance,NOT FOUND,,,,No,N/A (no ontology file)
AnimateDiff,NOT FOUND,,,,No,N/A (no ontology file)
Anthropic Claude,NOT FOUND,,,,No,N/A (no ontology file)
Apple,NOT FOUND,,,,No,N/A (no ontology file)
Artificial Intelligence,NOT FOUND,,,,No,N/A (no ontology file)
Automated Podcasting,NOT FOUND,,,,No,N/A (no ontology file)
BTC Layer 3,NOT FOUND,,,,No,N/A (no ontology file)
Bias in Large Language Models,NOT FOUND,,,,No,N/A (no ontology file)
Bitcoin As Money,NOT FOUND,,,,No,N/A (no ontology file)
Bitcoin ETF,NOT FOUND,,,,No,N/A (no ontology file)
Bitcoin Technical Overview,NOT FOUND,,,,No,N/A (no ontology file)
Bitcoin Value Proposition,NOT FOUND,,,,No,N/A (no ontology file)
Blender,NOT FOUND,,,,No,N/A (no ontology file)
Calculating Empires,NOT FOUND,,,,No,N/A (no ontology file)
California AI bill,NOT FOUND,,,,No,N/A (no ontology file)
Call Centres,NOT FOUND,,,,No,N/A (no ontology file)
Cashu,NOT FOUND,,,,No,N/A (no ontology file)
ChatGPT,NOT FOUND,,,,No,N/A (no ontology file)
Client side DCO,NOT FOUND,,,,No,N/A (no ontology file)
Coding support,NOT FOUND,,,,No,N/A (no ontology file)
Comfy UI for Fashion and Brands,NOT FOUND,,,,No,N/A (no ontology file)
ComfyUI,NOT FOUND,,,,No,N/A (no ontology file)
Comparison of GPT4 and Gemini Ultra,NOT FOUND,,,,No,N/A (no ontology file)
Comparison of SDXL and Midjourney v6,NOT FOUND,,,,No,N/A (no ontology file)
Competition in AI,NOT FOUND,,,,No,N/A (no ontology file)
Conspiracies,NOT FOUND,,,,No,N/A (no ontology file)
Consumer Tools for SMEs,NOT FOUND,,,,No,N/A (no ontology file)
Context Engineering,NOT FOUND,,,,No,N/A (no ontology file)
Controlnet and similar,NOT FOUND,,,,No,N/A (no ontology file)
Convergence,NOT FOUND,,,,No,N/A (no ontology file)
Courses and Training,NOT FOUND,,,,No,N/A (no ontology file)
Cyber Security and Military,NOT FOUND,,,,No,N/A (no ontology file)
Cyber security and Cryptography,NOT FOUND,,,,No,N/A (no ontology file)
Death of the Internet,NOT FOUND,,,,No,N/A (no ontology file)
Debug Test Page,NOT FOUND,,,,No,N/A (no ontology file)
Decentralised Web,NOT FOUND,,,,No,N/A (no ontology file)
Deep Learning,NOT FOUND,,,,No,N/A (no ontology file)
Deepfakes and fraudulent content,NOT FOUND,,,,No,N/A (no ontology file)
Deepmind,NOT FOUND,,,,No,N/A (no ontology file)
Definitions and frameworks for Metaverse,NOT FOUND,,,,No,N/A (no ontology file)
Depth Estimation,NOT FOUND,,,,No,N/A (no ontology file)
Diagrams as Code,NOT FOUND,,,,No,N/A (no ontology file)
Diffusion Models,NOT FOUND,,,,No,N/A (no ontology file)
Digital Asset Risks,NOT FOUND,,,,No,N/A (no ontology file)
Digital Objects,NOT FOUND,,,,No,N/A (no ontology file)
Digital Society Harms,NOT FOUND,,,,No,N/A (no ontology file)
Digital Society Surveillance,NOT FOUND,,,,No,N/A (no ontology file)
Distributed Identity,NOT FOUND,,,,No,N/A (no ontology file)
EU AI Act,NOT FOUND,,,,No,N/A (no ontology file)
Education and AI,NOT FOUND,,,,No,N/A (no ontology file)
Energy and Power,NOT FOUND,,,,No,N/A (no ontology file)
Ethereum,NOT FOUND,,,,No,N/A (no ontology file)
Evaluation benchmarks and leaderboards,NOT FOUND,,,,No,N/A (no ontology file)
Facebook Meta,NOT FOUND,,,,No,N/A (no ontology file)
Financialised Agentic Memetics,NOT FOUND,,,,No,N/A (no ontology file)
Flux,NOT FOUND,,,,No,N/A (no ontology file)
Foundation Models,NOT FOUND,,,,No,N/A (no ontology file)
Future Bernard,NOT FOUND,,,,No,N/A (no ontology file)
GANs,NOT FOUND,,,,No,N/A (no ontology file)
Gaussian splatting and Similar,NOT FOUND,,,,No,N/A (no ontology file)
Gemini,NOT FOUND,,,,No,N/A (no ontology file)
Geopolitical hot takes,NOT FOUND,,,,No,N/A (no ontology file)
Global Inequality,NOT FOUND,,,,No,N/A (no ontology file)
Gold,NOT FOUND,,,,No,N/A (no ontology file)
Hardware and Edge,NOT FOUND,,,,No,N/A (no ontology file)
Human tracking and SLAM capture,NOT FOUND,,,,No,N/A (no ontology file)
Human vs AI,NOT FOUND,,,,No,N/A (no ontology file)
"Humans, Avatars , Character",NOT FOUND,,,,No,N/A (no ontology file)
Hyper personalisation,NOT FOUND,,,,No,N/A (no ontology file)
IPAdapter,NOT FOUND,,,,No,N/A (no ontology file)
Inpainting,NOT FOUND,,,,No,N/A (no ontology file)
Interfaces,NOT FOUND,,,,No,N/A (no ontology file)
Introduction to me,NOT FOUND,,,,No,N/A (no ontology file)
Jailbreaking,NOT FOUND,,,,No,N/A (no ontology file)
Knowhere,NOT FOUND,,,,No,N/A (no ontology file)
Knowledge Graphing,NOT FOUND,,,,No,N/A (no ontology file)
Landscape,NOT FOUND,,,,No,N/A (no ontology file)
Large language models,NOT FOUND,,,,No,N/A (no ontology file)
Layoff tracker and threatened roles,NOT FOUND,,,,No,N/A (no ontology file)
Lead Poisoning Hypothesis,NOT FOUND,,,,No,N/A (no ontology file)
Leopold Aschenbrenner,NOT FOUND,,,,No,N/A (no ontology file)
Llama,NOT FOUND,,,,No,N/A (no ontology file)
LoRA DoRA etc,NOT FOUND,,,,No,N/A (no ontology file)
Machine Learning,NOT FOUND,,,,No,N/A (no ontology file)
Medical AI,NOT FOUND,,,,No,N/A (no ontology file)
Metaverse Ontology,NOT FOUND,,,,No,N/A (no ontology file)
Metaverse and Spatial Risks,NOT FOUND,,,,No,N/A (no ontology file)
Metaverse as Markets,NOT FOUND,,,,No,N/A (no ontology file)
Micropayments,NOT FOUND,,,,No,N/A (no ontology file)
Microsoft CoPilot,NOT FOUND,,,,No,N/A (no ontology file)
Microsoft Work Trends Impact 2024,NOT FOUND,,,,No,N/A (no ontology file)
Mixed reality,NOT FOUND,,,,No,N/A (no ontology file)
Model Control Protocols like MCP,NOT FOUND,,,,No,N/A (no ontology file)
Model Optimisation and Performance,NOT FOUND,,,,No,N/A (no ontology file)
Multi Agent RAG scrapbook,NOT FOUND,,,,No,N/A (no ontology file)
Music and audio,NOT FOUND,,,,No,N/A (no ontology file)
NVIDIA Omniverse,NOT FOUND,,,,No,N/A (no ontology file)
National Industrial Centre for Virtual Environments,NOT FOUND,,,,No,N/A (no ontology file)
Norbert Wiener,NOT FOUND,,,,No,N/A (no ontology file)
Nostr protocol,NOT FOUND,,,,No,N/A (no ontology file)
Octave Multi Model Laboratory,NOT FOUND,,,,No,N/A (no ontology file)
Open Generative AI tools,NOT FOUND,,,,No,N/A (no ontology file)
OpenAI,NOT FOUND,,,,No,N/A (no ontology file)
Overview of Machine Learning Techniques,NOT FOUND,,,,No,N/A (no ontology file)
Papers Of Note,NOT FOUND,,,,No,N/A (no ontology file)
Parametric,NOT FOUND,,,,No,N/A (no ontology file)
"Politics, Law, Privacy",NOT FOUND,,,,No,N/A (no ontology file)
"Privacy, Trust and Safety",NOT FOUND,,,,No,N/A (no ontology file)
Procedural and Hybrid 4D,NOT FOUND,,,,No,N/A (no ontology file)
Product Design,NOT FOUND,,,,No,N/A (no ontology file)
Product and Risk Management,NOT FOUND,,,,No,N/A (no ontology file)
Project Automated Podcast,NOT FOUND,,,,No,N/A (no ontology file)
Project BroBots,NOT FOUND,,,,No,N/A (no ontology file)
Prompt Engineering,NOT FOUND,,,,No,N/A (no ontology file)
Proprietary AI Video,NOT FOUND,,,,No,N/A (no ontology file)
Proprietary Image Generation,NOT FOUND,,,,No,N/A (no ontology file)
Proprietary Large Language Models,NOT FOUND,,,,No,N/A (no ontology file)
Proprietary Video,NOT FOUND,,,,No,N/A (no ontology file)
RGB and Client Side Validation,NOT FOUND,,,,No,N/A (no ontology file)
Reasoning,NOT FOUND,,,,No,N/A (no ontology file)
Recent Projects,NOT FOUND,,,,No,N/A (no ontology file)
Research Tools,NOT FOUND,,,,No,N/A (no ontology file)
Revision List,NOT FOUND,,,,No,N/A (no ontology file)
Robin Hanson,NOT FOUND,,,,No,N/A (no ontology file)
Robotics,NOT FOUND,,,,No,N/A (no ontology file)
Runes and Glyphs,NOT FOUND,,,,No,N/A (no ontology file)
Rust,NOT FOUND,,,,No,N/A (no ontology file)
SLAM,NOT FOUND,,,,No,N/A (no ontology file)
Safety and alignment,NOT FOUND,,,,No,N/A (no ontology file)
Sam Hammond,NOT FOUND,,,,No,N/A (no ontology file)
Scene Capture and Reconstruction,NOT FOUND,,,,No,N/A (no ontology file)
Segmentation and Identification,NOT FOUND,,,,No,N/A (no ontology file)
Semantic Web,NOT FOUND,,,,No,N/A (no ontology file)
Singularity,NOT FOUND,,,,No,N/A (no ontology file)
Social contract and jobs,NOT FOUND,,,,No,N/A (no ontology file)
Soon-Next-Later (AI futurology),NOT FOUND,,,,No,N/A (no ontology file)
Speech and voice,NOT FOUND,,,,No,N/A (no ontology file)
Stable Coins,NOT FOUND,,,,No,N/A (no ontology file)
Stable Diffusion,NOT FOUND,,,,No,N/A (no ontology file)
State Space and Other Approaches,NOT FOUND,,,,No,N/A (no ontology file)
State of the art in AI,NOT FOUND,,,,No,N/A (no ontology file)
Suggested Reading Order,NOT FOUND,,,,No,N/A (no ontology file)
Tim Reutermann,NOT FOUND,,,,No,N/A (no ontology file)
Time Series Forecasting,NOT FOUND,,,,No,N/A (no ontology file)
Tokenisation,NOT FOUND,,,,No,N/A (no ontology file)
Training and fine tuning,NOT FOUND,,,,No,N/A (no ontology file)
Training for Design Practitioners,NOT FOUND,,,,No,N/A (no ontology file)
Transformers,NOT FOUND,,,,No,N/A (no ontology file)
Upscaling,NOT FOUND,,,,No,N/A (no ontology file)
VP robotics project,NOT FOUND,,,,No,N/A (no ontology file)
Vesuvian Scrolls,NOT FOUND,,,,No,N/A (no ontology file)
Virtual Production,NOT FOUND,,,,No,N/A (no ontology file)
Vision Pro,NOT FOUND,,,,No,N/A (no ontology file)
VisionFlow and Junkie Jarvis,NOT FOUND,,,,No,N/A (no ontology file)
artificial superintelligence,NOT FOUND,,,,No,N/A (no ontology file)
collaborative,NOT FOUND,,,,No,N/A (no ontology file)
cypherpunk,NOT FOUND,,,,No,N/A (no ontology file)
debug linked node,NOT FOUND,,,,No,N/A (no ontology file)
ecash,NOT FOUND,,,,No,N/A (no ontology file)
flossverse,NOT FOUND,,,,No,N/A (no ontology file)
infrastructure,NOT FOUND,,,,No,N/A (no ontology file)
latent space,NOT FOUND,,,,No,N/A (no ontology file)
legacy media,NOT FOUND,,,,No,N/A (no ontology file)
license,NOT FOUND,,,,No,N/A (no ontology file)
multimodal,NOT FOUND,,,,No,N/A (no ontology file)
ollama,NOT FOUND,,,,No,N/A (no ontology file)
p(doom),NOT FOUND,,,,No,N/A (no ontology file)
relighting,NOT FOUND,,,,No,N/A (no ontology file)
