Original_Filename,Original_Path,Term_ID,Primary_Domain,Target_KG,Target_Path,Migration_Action,Priority,Blockchain_Relevance
51% Attack.md,/home/user/logseq/mainKnowledgeGraph/pages/51% Attack.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/51% Attack.md,MOVE,HIGH,HIGH
AI Risk.md,/home/user/logseq/mainKnowledgeGraph/pages/AI Risk.md,,MetaverseDomain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Acceleration.md,/home/user/logseq/mainKnowledgeGraph/pages/Acceleration.md,RB-0045,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Acceleration.md,MOVE,EXCLUDE,NONE
Account Model.md,/home/user/logseq/mainKnowledgeGraph/pages/Account Model.md,,Blockchain + AI,cross-domain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/cross-domain-knowledge-graph/pages/Account Model.md,MOVE,MEDIUM,MEDIUM
Address.md,/home/user/logseq/mainKnowledgeGraph/pages/Address.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Address.md,MOVE,HIGH,HIGH
BC 0102 inflation.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0102 inflation.md,BC-0102,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0102 inflation.md,MOVE,HIGH,HIGH
BC 0103 halving.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0103 halving.md,BC-0103,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0103 halving.md,MOVE,HIGH,HIGH
BC 0104 supply cap.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0104 supply cap.md,BC-0104,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0104 supply cap.md,MOVE,HIGH,HIGH
BC 0109 priority fee.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0109 priority fee.md,BC-0109,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0109 priority fee.md,MOVE,HIGH,HIGH
BC 0110 fee market.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0110 fee market.md,BC-0110,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0110 fee market.md,MOVE,HIGH,HIGH
BC 0111 deflationary token.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0111 deflationary token.md,BC-0111,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0111 deflationary token.md,MOVE,HIGH,HIGH
BC 0112 inflationary token.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0112 inflationary token.md,BC-0112,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0112 inflationary token.md,MOVE,HIGH,HIGH
BC 0114 burning mechanism.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0114 burning mechanism.md,BC-0114,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0114 burning mechanism.md,MOVE,HIGH,HIGH
BC 0115 minting.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0115 minting.md,BC-0115,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0115 minting.md,MOVE,HIGH,HIGH
BC 0116 total supply.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0116 total supply.md,BC-0116,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0116 total supply.md,MOVE,HIGH,HIGH
BC 0117 circulating supply.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0117 circulating supply.md,BC-0117,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0117 circulating supply.md,MOVE,HIGH,HIGH
BC 0119 economic security.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0119 economic security.md,BC-0119,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0119 economic security.md,MOVE,HIGH,HIGH
Block Time.md,/home/user/logseq/mainKnowledgeGraph/pages/Block Time.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Block Time.md,MOVE,HIGH,HIGH
Blockchain Network.md,/home/user/logseq/mainKnowledgeGraph/pages/Blockchain Network.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Blockchain Network.md,MOVE,HIGH,HIGH
Coin.md,/home/user/logseq/mainKnowledgeGraph/pages/Coin.md,,Economics,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Coin.md,MOVE,HIGH,HIGH
Collaborative Operation.md,/home/user/logseq/mainKnowledgeGraph/pages/Collaborative Operation.md,RB-0103,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Collaborative Operation.md,MOVE,EXCLUDE,NONE
Computed Torque Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Computed Torque Control.md,RB-0064,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Computed Torque Control.md,MOVE,EXCLUDE,NONE
Cryptographic Commitment.md,/home/user/logseq/mainKnowledgeGraph/pages/Cryptographic Commitment.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Cryptographic Commitment.md,MOVE,HIGH,HIGH
Cryptography.md,/home/user/logseq/mainKnowledgeGraph/pages/Cryptography.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Cryptography.md,MOVE,HIGH,HIGH
Degrees Of Freedom.md,/home/user/logseq/mainKnowledgeGraph/pages/Degrees Of Freedom.md,RB-0023,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Degrees Of Freedom.md,MOVE,EXCLUDE,NONE
Difficulty.md,/home/user/logseq/mainKnowledgeGraph/pages/Difficulty.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Difficulty.md,MOVE,HIGH,HIGH
Digital Signature.md,/home/user/logseq/mainKnowledgeGraph/pages/Digital Signature.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Digital Signature.md,MOVE,HIGH,HIGH
ETSI_Domain_Virtual_Society.md,/home/user/logseq/mainKnowledgeGraph/pages/ETSI_Domain_Virtual_Society.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Emergency Stop.md,/home/user/logseq/mainKnowledgeGraph/pages/Emergency Stop.md,RB-0090,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Emergency Stop.md,MOVE,EXCLUDE,NONE
End Effector.md,/home/user/logseq/mainKnowledgeGraph/pages/End Effector.md,RB-0025,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/End Effector.md,MOVE,EXCLUDE,NONE
Exoskeleton Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Exoskeleton Robot.md,RB-0019,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Exoskeleton Robot.md,MOVE,EXCLUDE,NONE
Fairness Auditing Tools.md,/home/user/logseq/mainKnowledgeGraph/pages/Fairness Auditing Tools.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Forward Kinematics.md,/home/user/logseq/mainKnowledgeGraph/pages/Forward Kinematics.md,RB-0028,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Forward Kinematics.md,MOVE,EXCLUDE,NONE
Gyroscope.md,/home/user/logseq/mainKnowledgeGraph/pages/Gyroscope.md,RB-0081,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Gyroscope.md,MOVE,EXCLUDE,NONE
Hash Function.md,/home/user/logseq/mainKnowledgeGraph/pages/Hash Function.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Hash Function.md,MOVE,HIGH,HIGH
Human Rights.md,/home/user/logseq/mainKnowledgeGraph/pages/Human Rights.md,,Unknown,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Impedance Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Impedance Control.md,RB-0056,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Impedance Control.md,MOVE,EXCLUDE,NONE
Input.md,/home/user/logseq/mainKnowledgeGraph/pages/Input.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Input.md,MOVE,HIGH,HIGH
Inspection Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Inspection Robot.md,RB-0018,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Inspection Robot.md,MOVE,EXCLUDE,NONE
Inverse Kinematics.md,/home/user/logseq/mainKnowledgeGraph/pages/Inverse Kinematics.md,RB-0029,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Inverse Kinematics.md,MOVE,EXCLUDE,NONE
Lidar.md,/home/user/logseq/mainKnowledgeGraph/pages/Lidar.md,RB-0069,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Lidar.md,MOVE,EXCLUDE,NONE
Light Curtain.md,/home/user/logseq/mainKnowledgeGraph/pages/Light Curtain.md,RB-0097,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Light Curtain.md,MOVE,EXCLUDE,NONE
Light Node.md,/home/user/logseq/mainKnowledgeGraph/pages/Light Node.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Light Node.md,MOVE,HIGH,HIGH
Loss Function.md,/home/user/logseq/mainKnowledgeGraph/pages/Loss Function.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Loss Function.md,MOVE,MEDIUM,LOW
Manipulability.md,/home/user/logseq/mainKnowledgeGraph/pages/Manipulability.md,RB-0032,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Manipulability.md,MOVE,EXCLUDE,NONE
Mining.md,/home/user/logseq/mainKnowledgeGraph/pages/Mining.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Mining.md,MOVE,HIGH,HIGH
Mobile Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Mobile Robot.md,,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Mobile Robot.md,MOVE,EXCLUDE,NONE
Money.md,/home/user/logseq/mainKnowledgeGraph/pages/Money.md,,Blockchain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Node.md,/home/user/logseq/mainKnowledgeGraph/pages/Node.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Node.md,MOVE,HIGH,HIGH
Perception System.md,/home/user/logseq/mainKnowledgeGraph/pages/Perception System.md,,Robotics,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Pressure Sensor.md,/home/user/logseq/mainKnowledgeGraph/pages/Pressure Sensor.md,RB-0085,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Pressure Sensor.md,MOVE,EXCLUDE,NONE
Proof of Work.md,/home/user/logseq/mainKnowledgeGraph/pages/Proof of Work.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Proof of Work.md,MOVE,HIGH,HIGH
Public Key.md,/home/user/logseq/mainKnowledgeGraph/pages/Public Key.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Public Key.md,MOVE,HIGH,HIGH
Radar.md,/home/user/logseq/mainKnowledgeGraph/pages/Radar.md,RB-0080,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Radar.md,MOVE,EXCLUDE,NONE
Range Finder.md,/home/user/logseq/mainKnowledgeGraph/pages/Range Finder.md,RB-0075,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Range Finder.md,MOVE,EXCLUDE,NONE
Recurrent Neural Network.md,/home/user/logseq/mainKnowledgeGraph/pages/Recurrent Neural Network.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Recurrent Neural Network.md,MOVE,MEDIUM,LOW
Resolution.md,/home/user/logseq/mainKnowledgeGraph/pages/Resolution.md,RB-0036,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Resolution.md,MOVE,EXCLUDE,NONE
Robot Accuracy.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Accuracy.md,RB-0035,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Accuracy.md,MOVE,EXCLUDE,NONE
Robot Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Control.md,RB-0046,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Control.md,MOVE,EXCLUDE,NONE
Robot Kinematics.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot Kinematics.md,RB-0021,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot Kinematics.md,MOVE,EXCLUDE,NONE
Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Robot.md,,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robot.md,MOVE,EXCLUDE,NONE
Robust Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Robust Control.md,RB-0059,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Robust Control.md,MOVE,EXCLUDE,NONE
Safeguarding.md,/home/user/logseq/mainKnowledgeGraph/pages/Safeguarding.md,RB-0096,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Safeguarding.md,MOVE,EXCLUDE,NONE
Safety Plc.md,/home/user/logseq/mainKnowledgeGraph/pages/Safety Plc.md,RB-0099,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Safety Plc.md,MOVE,EXCLUDE,NONE
Safety Rated Monitored Stop.md,/home/user/logseq/mainKnowledgeGraph/pages/Safety Rated Monitored Stop.md,RB-0091,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Safety Rated Monitored Stop.md,MOVE,EXCLUDE,NONE
Safety Standard.md,/home/user/logseq/mainKnowledgeGraph/pages/Safety Standard.md,RB-0087,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Safety Standard.md,MOVE,EXCLUDE,NONE
Safety Zone.md,/home/user/logseq/mainKnowledgeGraph/pages/Safety Zone.md,RB-0095,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Safety Zone.md,MOVE,EXCLUDE,NONE
Speed And Separation Monitoring.md,/home/user/logseq/mainKnowledgeGraph/pages/Speed And Separation Monitoring.md,RB-0105,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Speed And Separation Monitoring.md,MOVE,EXCLUDE,NONE
Speed Limitation.md,/home/user/logseq/mainKnowledgeGraph/pages/Speed Limitation.md,RB-0093,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Speed Limitation.md,MOVE,EXCLUDE,NONE
Surgical Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Surgical Robot.md,RB-0014,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Surgical Robot.md,MOVE,EXCLUDE,NONE
Tactile Sensing.md,/home/user/logseq/mainKnowledgeGraph/pages/Tactile Sensing.md,RB-0070,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Tactile Sensing.md,MOVE,EXCLUDE,NONE
Teleoperated Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Teleoperated Robot.md,RB-0009,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Teleoperated Robot.md,MOVE,EXCLUDE,NONE
Ultrasonic Sensor.md,/home/user/logseq/mainKnowledgeGraph/pages/Ultrasonic Sensor.md,RB-0079,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Ultrasonic Sensor.md,MOVE,EXCLUDE,NONE
Underwater Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Underwater Robot.md,RB-0011,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Underwater Robot.md,MOVE,EXCLUDE,NONE
AI Ethics Checklist.md,/home/user/logseq/mainKnowledgeGraph/pages/AI Ethics Checklist.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
AI Governance Principle.md,/home/user/logseq/mainKnowledgeGraph/pages/AI Governance Principle.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
AI Trustworthiness Dimensions.md,/home/user/logseq/mainKnowledgeGraph/pages/AI Trustworthiness Dimensions.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Accelerometer.md,/home/user/logseq/mainKnowledgeGraph/pages/Accelerometer.md,RB-0082,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Accelerometer.md,MOVE,EXCLUDE,NONE
Accessibility Audit Tool.md,/home/user/logseq/mainKnowledgeGraph/pages/Accessibility Audit Tool.md,,InteractionDomain,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Activation Function.md,/home/user/logseq/mainKnowledgeGraph/pages/Activation Function.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Activation Function.md,MOVE,MEDIUM,LOW
Adaptive Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Adaptive Control.md,RB-0058,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Adaptive Control.md,MOVE,EXCLUDE,NONE
Admittance Control.md,/home/user/logseq/mainKnowledgeGraph/pages/Admittance Control.md,RB-0057,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Admittance Control.md,MOVE,EXCLUDE,NONE
Aerial Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Aerial Robot.md,RB-0010,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Aerial Robot.md,MOVE,EXCLUDE,NONE
Agricultural Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Agricultural Robot.md,RB-0015,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Agricultural Robot.md,MOVE,EXCLUDE,NONE
Algorithmic Transparency Index.md,/home/user/logseq/mainKnowledgeGraph/pages/Algorithmic Transparency Index.md,,Governance,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Application Layer.md,/home/user/logseq/mainKnowledgeGraph/pages/Application Layer.md,,Infrastructure,REVIEW,PENDING_REVIEW,REVIEW,MEDIUM,UNKNOWN
Archival Node.md,/home/user/logseq/mainKnowledgeGraph/pages/Archival Node.md,,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/Archival Node.md,MOVE,HIGH,HIGH
Attention Mechanism.md,/home/user/logseq/mainKnowledgeGraph/pages/Attention Mechanism.md,,AI/ML,ai-ml-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/ai-ml-knowledge-graph/pages/Attention Mechanism.md,MOVE,MEDIUM,LOW
Autoencoder.md,/home/user/logseq/mainKnowledgeGraph/pages/Autoencoder.md,,AI/ML,REVIEW,PENDING_REVIEW,REVIEW,LOW,UNKNOWN
Autonomous Robot.md,/home/user/logseq/mainKnowledgeGraph/pages/Autonomous Robot.md,RB-0008,Robotics,robotics-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/robotics-knowledge-graph/pages/Autonomous Robot.md,MOVE,EXCLUDE,NONE
BC 0101 transaction fee.md,/home/user/logseq/mainKnowledgeGraph/pages/BC 0101 transaction fee.md,BC-0101,Blockchain,blockchain-knowledge-graph,/home/user/logseq/mainKnowledgeGraph/blockchain-knowledge-graph/pages/BC 0101 transaction fee.md,MOVE,HIGH,HIGH
